date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:11	226545/226545	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:11%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-DataSinks.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-DataSinks.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:12	233622/233622	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:12%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveFileFormat.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveFileFormat.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:13	238445/238445	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:13%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveClient.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveClient.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:13	251606/251606	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:13%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveClientImpl.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveClientImpl.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:14	238705/238705	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:14%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveUtils.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveUtils.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:14	237435/237435	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:14%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/IsolatedClientLoader.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/IsolatedClientLoader.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:15	241598/241598	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:15%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveTableRelation.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveTableRelation.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:16	237668/237668	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:16%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/CreateHiveTableAsSelectCommand.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/CreateHiveTableAsSelectCommand.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:16	244883/244883	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:16%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/SaveAsHiveFile.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/SaveAsHiveFile.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:17	238725/238725	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:17%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/InsertIntoHiveDirCommand.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/InsertIntoHiveDirCommand.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:17	235353/235353	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:17%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/InsertIntoHiveTable.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/InsertIntoHiveTable.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
